35.0	115.0
44.0	81.0
45.0	114.0
31.0	102.0
43.0	83.0
48.0	105.0
36.0	106.0
37.0	73.0
27.0	110.0
28.0	76.0
42.0	89.0
13.0	126.0
37.0	49.0
38.0	78.0
21.0	109.0
53.0	102.0
45.0	106.0
51.0	101.0
38.0	103.0
33.0	101.0
43.0	78.0
34.0	140.0
39.0	103.0
51.0	104.0
43.0	106.0
53.0	80.0
14.0	94.0
35.0	120.0
43.0	134.0
29.0	77.0
53.0	73.0
45.0	100.0
19.0	80.0
36.0	93.0
36.0	106.0
23.0	140.0
33.0	112.0
37.0	110.0
39.0	104.0
10.0	103.0
25.0	146.0
51.0	144.0
39.0	97.0
25.0	82.0
45.0	124.0
34.0	84.0
38.0	106.0
30.0	104.0
30.0	154.0
25.0	89.0
33.0	120.0
37.0	144.0
31.0	115.0
10.0	79.0
24.0	88.0
14.0	32.0
25.0	132.0
43.0	75.0
38.0	82.0
36.0	38.0
29.0	121.0
32.0	108.0
51.0	95.0
28.0	59.0
31.0	71.0
42.0	117.0
44.0	95.0
43.0	79.0
53.0	83.0
48.0	101.0
35.0	115.0
40.0	124.0
29.0	139.0
39.0	88.0
28.0	62.0
35.0	126.0
41.0	106.0
23.0	99.0
45.0	96.0
26.0	128.0
26.0	97.0
39.0	88.0
28.0	95.0
34.0	82.0
34.0	125.0
45.0	94.0
40.0	130.0
41.0	97.0
47.0	66.0
17.0	29.0
25.0	100.0
24.0	96.0
18.0	84.0
19.0	98.0
25.0	125.0
35.0	119.0
30.0	104.0
47.0	112.0
32.0	120.0
36.0	118.0
